sex,age,realhrwage,wave,sch,annlabinc,region,female
1,29,59.2417068481445,2011,17.0,125000.0,2.0,0
1,42,29.0679836273193,1999,12.0,56000.0,3.0,0
1,43,20.9011859893799,2007,12.0,59600.0,2.0,0
1,27,24.3318557739258,1981,12.0,30000.0,1.0,0
1,50,33.4271240234375,1999,18.0,54252.0,2.0,0
1,37,51.0637512207031,2009,13.0,95000.0,3.0,0
1,38,28.2858409881592,2009,18.0,71000.0,3.0,0
1,40,15.7464485168457,2009,12.0,31000.0,3.0,0
1,27,27.0353965759277,1981,12.0,26000.0,2.0,0
1,47,16.5079593658447,1999,12.0,40500.0,3.0,0
1,26,12.7133941650391,1981,12.0,11000.0,3.0,0
1,45,27.2331390380859,1999,16.0,43000.0,2.0,0
1,28,4.91442966461182,1990,11.0,5875.0,3.0,0
1,43,18.0784320831299,1999,12.0,29000.0,3.0,0
1,36,18.659387588501,2009,12.0,36000.0,2.0,0
1,43,41.4991798400879,2009,13.0,100000.0,3.0,0
1,47,18.9373168945312,2007,16.0,45000.0,3.0,0
1,33,27.9075241088867,2007,12.0,8530.0,4.0,0
1,52,47.1549110412598,1999,18.0,97000.0,1.0,0
1,28,23.618537902832,2011,16.0,53000.0,1.0,0
1,56,42.0829277038574,2007,13.0,120000.0,3.0,0
1,59,25.069637298584,2011,14.0,45000.0,3.0,0
1,32,24.3815975189209,2009,12.0,48000.0,2.0,0
1,27,15.558349609375,1981,12.0,14000.0,3.0,0
1,51,3.97292828559875,1990,5.0,5760.0,3.0,0
1,51,52.827449798584,1999,18.0,82000.0,1.0,0
1,33,8.98245620727539,2011,16.0,25600.0,3.0,0
1,35,20.440279006958,2007,12.0,40000.0,3.0,0
1,33,28.5322742462158,1999,18.0,70000.0,1.0,0
1,62,16.0,2011,12.0,32000.0,4.0,0
1,63,30.0,2011,16.0,60000.0,2.0,0
1,40,50.868968963623,1999,16.0,84000.0,1.0,0
1,25,15.6013650894165,1990,12.0,20000.0,3.0,0
1,26,15.910210609436,1981,12.0,14000.0,2.0,0
1,35,35.3962097167969,2007,16.0,66200.0,2.0,0
1,35,12.3562803268433,1990,12.0,15400.0,3.0,0
1,30,26.494255065918,1999,13.0,50000.0,4.0,0
1,25,20.6008586883545,2011,16.0,48000.0,2.0,0
1,32,23.7363605499268,1990,15.0,35500.0,3.0,0
1,27,38.4175682067871,1981,12.0,49860.0,2.0,0
1,40,24.1880931854248,2009,13.0,70000.0,3.0,0
1,35,17.8550262451172,1999,14.0,40000.0,2.0,0
1,32,23.6880512237549,2009,12.0,48500.0,1.0,0
1,63,23.6459445953369,2009,18.0,2700.0,2.0,0
1,29,20.119815826416,1999,17.0,26500.0,3.0,0
1,27,36.4523277282715,1999,14.0,71000.0,1.0,0
1,25,10.1382732391357,1981,12.0,6000.0,3.0,0
1,31,23.7519836425781,2007,16.0,50000.0,3.0,0
1,40,42.3196105957031,1981,18.0,29000.0,1.0,0
1,38,22.89719581604,1981,9.0,21000.0,3.0,0
1,28,23.7096900939941,2009,17.0,44250.0,2.0,0
1,56,10.3109846115112,2009,11.0,20624.0,4.0,0
1,45,43.8005981445312,2007,16.0,80000.0,1.0,0
1,47,22.1990776062012,2009,16.0,38000.0,1.0,0
1,38,20.7843132019043,2011,18.0,53000.0,3.0,0
1,46,40.6359939575195,2009,16.0,80000.0,4.0,0
1,58,18.1674880981445,1999,,30000.0,4.0,0
1,47,23.4519100189209,2011,16.0,71200.0,3.0,0
1,51,68.1120834350586,1999,16.0,152000.0,2.0,0
1,55,21.5654315948486,1990,10.0,26000.0,3.0,0
1,26,14.0412282943726,1990,16.0,24000.0,3.0,0
1,59,26.8881454467773,1990,12.0,35700.0,1.0,0
1,57,53.3545379638672,2007,15.0,62000.0,2.0,0
1,34,27.5229358673096,2011,14.0,60000.0,2.0,0
1,34,16.5691165924072,2007,14.0,47000.0,3.0,0
1,52,20.3475875854492,1999,16.0,40000.0,2.0,0
1,48,70.3466491699219,2009,18.0,179000.0,1.0,0
1,26,15.1881895065308,2007,16.0,27500.0,2.0,0
1,31,16.6444282531738,1999,16.0,37000.0,2.0,0
1,40,21.0414638519287,2007,11.0,40000.0,2.0,0
1,38,11.1833333969116,2011,13.0,26840.0,2.0,0
1,25,15.7909736633301,1999,12.0,43000.0,4.0,0
1,49,13.1961545944214,1990,7.0,14500.0,3.0,0
1,41,58.978515625,1999,12.0,64000.0,2.0,0
1,48,32.293384552002,1981,13.0,19000.0,2.0,0
1,42,11.608998298645,1981,11.0,11300.0,2.0,0
1,38,17.4081230163574,2011,12.0,45000.0,1.0,0
1,47,39.1299743652344,1999,18.0,64000.0,3.0,0
1,42,17.1746406555176,1981,12.0,17832.0,2.0,0
1,49,60.9539947509766,2009,12.0,138000.0,1.0,0
1,62,5.18316268920898,2009,14.0,11000.0,3.0,0
1,34,30.9057006835938,2007,14.0,72000.0,3.0,0
1,33,20.0249500274658,2009,12.0,41000.0,4.0,0
1,44,57.2275886535645,1999,12.0,108000.0,2.0,0
1,29,23.6911697387695,1990,12.0,29060.0,2.0,0
1,53,27.1537818908691,1981,17.0,26525.0,3.0,0
1,31,24.8383636474609,1999,13.0,40000.0,1.0,0
1,27,14.5684432983398,1981,14.0,12000.0,1.0,0
1,45,14.1564846038818,1999,16.0,24000.0,4.0,0
1,28,16.2075901031494,1990,12.0,20200.0,2.0,0
1,32,38.2716064453125,2011,15.0,62000.0,2.0,0
1,57,23.5504493713379,1999,16.0,40000.0,2.0,0
1,45,21.748966217041,1990,12.0,28600.0,3.0,0
1,60,11.5384616851807,2011,16.0,12000.0,3.0,0
1,34,20.8052825927734,2007,12.0,38000.0,2.0,0
1,36,13.9355268478394,2009,18.0,30000.0,1.0,0
1,45,16.9202136993408,1999,15.0,26397.0,4.0,0
1,43,40.0292663574219,1990,18.0,36450.0,1.0,0
1,34,16.8331699371338,2007,12.0,40000.0,2.0,0
1,40,20.5398273468018,2007,18.0,39812.0,2.0,0
1,54,10.5822906494141,2009,12.0,42000.0,3.0,0
1,47,16.9563217163086,1999,12.0,26000.0,3.0,0
1,43,19.6577186584473,1990,9.0,26000.0,3.0,0
1,28,14.5861530303955,1990,16.0,38000.0,1.0,0
1,45,30.3536376953125,1990,12.0,45860.0,2.0,0
1,26,15.3061227798462,2011,12.0,22500.0,4.0,0
1,29,17.6923084259033,2011,16.0,46000.0,3.0,0
1,33,12.5902128219604,2009,12.0,29000.0,2.0,0
1,36,24.0384616851807,2011,12.0,50000.0,3.0,0
1,32,18.7018260955811,1999,12.0,30000.0,3.0,0
1,36,56.0760307312012,1999,18.0,112000.0,2.0,0
1,57,17.2935581207275,2011,12.0,40000.0,1.0,0
1,30,21.3153038024902,1981,10.0,18000.0,3.0,0
1,37,16.052267074585,1981,12.0,16000.0,3.0,0
1,54,49.0566711425781,2007,14.0,112000.0,3.0,0
1,33,26.1044178009033,2011,15.0,65000.0,2.0,0
1,53,26.0753726959229,1999,17.0,41500.0,1.0,0
1,63,12.9003162384033,2009,12.0,32000.0,3.0,0
1,35,11.5378198623657,1999,15.0,18000.0,2.0,0
1,33,6.06878137588501,2007,12.0,3150.0,3.0,0
1,26,2.44562339782715,1999,10.0,4000.0,3.0,0
1,35,24.6378345489502,2007,16.0,45000.0,3.0,0
1,43,20.2637367248535,1999,13.0,29000.0,1.0,0
1,28,16.6792488098145,1981,14.0,18400.0,3.0,0
1,37,3.18187475204468,1990,12.0,3300.0,3.0,0
1,37,9.86998462677002,1990,12.0,12000.0,3.0,0
